Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
30.0,10,2,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,3,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,4,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,5,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,6,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,7,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,8,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,9,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,10,10,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
40.0,2,2,0.0,0.0078125,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,3,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,4,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,5,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,6,0.0,0.01953125,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,7,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,8,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,9,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,2,10,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,3,2,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,3,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,4,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,5,0.0,0.00390625,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,6,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,7,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,8,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,9,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,3,10,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,2,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,4,3,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,4,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,5,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,6,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,7,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,8,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,9,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,4,10,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,2,0.0,0.0,0.0,0.9666666666666667,0.9693333333333333,0.9660790598290598,0.9666666666666667
40.0,5,3,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,4,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,5,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,6,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,7,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,8,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,9,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
40.0,5,10,0.0,0.0,0.0,0.95,0.9557692307692308,0.9485306122448979,0.95
